Kpx,Kpa,Kda,MaxAngle, Overshoot, J
85.927458,16.138226,0.028591,22.104901,16.820666,82.212998
6.569340,24.302026,1.807837,4.531440,22.732312,72.599492
43.734575,93.658208,1.171398,22.104901,18.498224,69.285439
59.439160,0.000000,0.711061,4.986197,0.000000,3232.422025
86.974643,81.213996,0.904330,22.104901,18.111347,84.161742
11.300579,33.676035,1.077585,8.476789,30.200314,64.642209
26.931393,100.000000,1.549278,19.135796,26.038758,66.994496
93.690653,40.152797,0.271379,22.104901,18.029518,87.325058
71.630706,46.112101,0.000000,22.104901,16.281144,77.303988
30.623731,0.000000,0.000000,0.055351,0.000000,3608.188443
100.000000,78.071848,0.317741,22.104901,17.501310,87.342710
26.409455,70.049478,1.547254,18.430854,24.006149,65.760331
13.472811,100.000000,0.580683,11.871692,34.184307,72.864094
86.766478,32.645385,1.986338,22.104901,15.614725,67.748992
100.000000,0.000000,0.000000,0.055351,0.000000,3608.188443
93.649508,22.150574,0.820931,22.104901,17.634739,83.379569
77.053517,100.000000,0.600775,22.104901,17.985159,81.090187
6.258477,0.000000,1.814748,2.817893,0.000000,3513.109053
82.357158,0.000000,0.005213,5.444171,0.000000,3350.570816
100.000000,45.400655,1.506787,22.104901,19.013380,93.262751
100.000000,87.373691,0.000000,22.104901,15.268569,81.119574
100.000000,0.000000,1.168566,6.130599,0.000000,3455.122435
80.492762,14.749421,1.834766,22.104901,12.145623,57.509921
68.657580,38.603541,0.000000,22.104901,18.427752,79.776292
100.000000,85.331622,2.000000,22.104901,16.973412,84.497501
12.781341,25.800266,0.649415,9.617189,31.394311,62.832803
79.648915,44.548347,1.081841,22.104901,18.712799,82.818178
62.274817,0.000000,0.257554,4.986197,0.000000,3266.004864
43.464015,95.726444,0.363850,22.104901,17.906461,73.017730
8.243411,57.832981,0.572092,8.476789,49.301182,84.345609
61.040329,0.000000,0.000000,0.055351,0.000000,3608.188443
0.000000,39.921229,0.596578,1.299314,0.000000,3592.612566
70.307552,24.017804,0.000000,22.104901,17.890813,79.017125
33.328783,59.984554,1.292381,21.580172,21.129017,66.318497
96.787272,17.896453,0.656748,22.104901,18.560476,87.613695
68.528395,42.616686,0.610673,22.104901,17.265103,74.250796
0.000000,9.121441,0.088900,1.649475,0.000000,3650.563005
71.667289,2.731996,1.439007,13.237700,0.000000,56.238338
74.251743,0.000000,0.000000,0.055351,0.000000,3608.188443
