Cnt,Particle,Generation,Kpx,Kpa,Kda,MaxAngle, Overshoot, J
102,32,2,100,73.014238,0.42167,22.104901,17.662618,88.397718
103,33,2,100,0,0.401249,6.130599,0,3164.168876
104,34,2,85.87944,0,0,0.055351,0,3608.188443
105,35,2,2.723409,0,0.01646,1.051397,0,3537.798168
106,36,2,0,0,2,0.633945,0,3629.533847
107,37,2,99.441298,37.358621,0,22.104901,15.526773,82.342187
108,38,2,70.436651,29.882675,0.433554,22.104901,18.909532,83.348276
109,39,2,0,75.119325,0,2.136636,0,3576.562514
110,40,2,0,56.531998,0,2.753866,0,3709.670789
111,41,2,0,0,0,0.055351,0,3608.188443
112,42,2,19.386616,88.175586,0.38112,15.912678,25.464184,66.592845
113,43,2,27.873052,10.098551,0.193225,19.135796,23.24187,64.756939
114,44,2,92.328078,5.415414,0,22.104901,15.867343,81.698693
115,45,2,16.024945,12.750997,0.17974,13.002718,24.900794,62.65191
116,46,2,0,4.855025,0.281963,0.858031,0,3621.352447
117,47,2,91.307877,0,0.111689,5.950948,0,3167.477968
118,48,2,0,1.943472,0.083701,0.733202,0,3654.223178
119,49,2,91.407034,0,0,0.055351,0,3608.188443
120,50,2,0,22.425443,0.489383,1.340346,0,3643.765421
121,51,2,15.249498,0,0.038248,3.529051,0,3303.376474
122,52,2,29.273232,3.956166,0.807057,12.680549,2.930391,39.599314
123,53,2,0,7.79104,1.588384,0.624736,0,3629.069958
124,54,2,93.920109,0.297904,0.994731,6.130599,0,260.923059
125,55,2,100,0.479296,0.585733,10.807243,0,76.97842
126,56,2,17.143668,92.653048,1.292523,14.009564,23.65187,60.007943
127,57,2,44.874051,0,0.658003,4.986197,0,3056.720547
128,58,2,74.950387,12.439043,1.413002,22.104901,13.108121,59.287206
129,59,2,100,0,0,0.055351,0,3608.188443
130,60,2,60.078362,0,0.992447,4.986197,0,3273.782885
131,61,2,57.259601,35.779108,0,22.104901,17.212998,74.243342
132,62,2,97.782616,4.519141,1.006185,22.104901,7.935823,57.034862
133,63,2,47.785984,0,0.124478,4.986197,0,3116.317876
134,64,2,29.313936,21.456131,0,21.21289,23.865446,71.228968
135,65,2,63.164579,89.12144,0.681784,22.104901,17.948317,79.177348
136,66,2,0,18.415136,0.026439,2.260193,0,3576.185558
137,67,2,87.201873,7.915679,0,22.104901,16.973316,80.845968
138,68,2,79.705949,31.468914,0,22.104901,18.162345,81.8818
139,69,2,16.485651,0,0,0.055351,0,3608.188443
140,0,3,18.220509,53.50855,1.989267,12.582727,26.089657,59.617374
141,1,3,50.66218,0,1.363153,4.986197,0,2756.1926
142,2,3,100,0,0.482333,6.130599,0,3162.794402
143,3,3,72.638073,0,0,0.055351,0,3608.188443
144,4,3,9.671222,0,0,0.055351,0,3608.188443
145,5,3,60.801637,26.246746,0.093192,22.104901,18.570012,76.029385
146,6,3,5.743834,0,0,0.055351,0,3608.188443
147,7,3,0,0,0,0.055351,0,3608.188443
148,8,3,28.503021,0,0.44031,3.872578,0,3220.176721
149,9,3,100,27.848418,0.372785,22.104901,17.713077,90.475217
150,10,3,16.229309,0,0,0.055351,0,3608.188443
151,11,3,36.643815,30.305461,0.485077,22.104901,18.831913,67.094381
152,12,3,0,0,0,0.055351,0,3608.188443
153,13,3,81.545217,100,0,22.104901,17.013858,82.634817
154,14,3,0,25.291226,0.368603,1.382324,0,3589.438241
155,15,3,0,85.30491,0,2.128349,0,3576.92668
156,16,3,40.206542,52.375372,1.639951,22.104901,17.038278,64.44029
157,17,3,15.930302,49.563608,0.912889,12.548948,30.237442,64.758044
158,18,3,43.992669,79.513924,0.39174,22.104901,17.245488,68.599092
159,19,3,28.098646,0,2,3.872578,0,3244.637311
160,20,3,64.751476,50.709439,1.380142,22.104901,18.7248,75.280281
161,21,3,62.213124,0,0,0.055351,0,3608.188443
162,22,3,16.200052,8.852167,0,14.42836,23.927083,67.795201
163,23,3,3.641136,0,0.265598,1.820952,0,3384.150962
164,24,3,100,0,0,0.055351,0,3608.188443
165,25,3,0,100,0,2.116392,0,3577.452106
166,26,3,100,0,0,0.055351,0,3608.188443
167,27,3,0,0,0,0.055351,0,3608.188443
168,28,3,25.102078,0,0,0.055351,0,3608.188443
169,29,3,100,0,1.797933,6.130599,0,3257.707741
170,30,3,41.249692,0,1.497915,4.986197,0,3036.608939
171,31,3,15.089853,37.902154,0,14.009564,21.067656,64.73332
172,32,3,76.664547,15.418665,0.827938,22.104901,16.602055,70.624212
173,33,3,0,100,0.832408,2.108357,0,3708.039506
174,34,3,77.039756,0,0,0.055351,0,3608.188443
175,35,3,5.719159,0,0.034565,2.36436,0,3403.580447
176,36,3,100,19.77791,0,22.104901,15.552573,81.516078
177,37,3,88.772785,14.867837,0.151109,22.104901,18.171452,87.917944
178,38,3,92.92007,29.613998,0,22.104901,16.165526,83.338967
179,39,3,80.626141,0,1.673338,6.130599,0,3064.127016
180,40,3,18.047148,66.386937,0.163982,14.986921,23.273021,65.434503
181,41,3,2.212701,0,0.014349,0.779471,0,3558.116063
182,42,3,0,92.605204,0,2.122409,0,3577.187699
183,43,3,35.428527,7.833375,0,22.104901,16.88833,70.006603
184,44,3,82.904908,0,0.376156,6.130599,0,3025.238558
185,45,3,100,0,0.312929,6.130599,0,3186.420664
186,46,3,2.107622,16.543747,0,4.033103,8.512467,91.02365
187,47,3,7.475538,18.748183,0.18544,7.286218,53.122321,88.166638
188,48,3,64.590761,0,0.119498,5.218421,0,3126.488711
189,49,3,17.654074,0,0.020046,3.7275,0,3354.033272
190,50,3,91.775047,0,0.572849,6.130599,0,3108.735029
