PeakTime,PeakValue
2.2,0.476627425471439
3.13,0.463735552535049
4.05,0.453069241477935
4.99,0.438330282562915
5.91,0.426802001609836
6.84,0.41468982450858
7.77,0.40208531007884
8.69,0.391492218442568
9.62,0.379825711903998
10.54,0.368192289741234
11.46,0.356705834042275
12.39,0.345978609001646
13.31,0.335175178660252
14.23,0.324653145540856
15.15,0.312790033209304
16.07,0.300510251417564
16.98,0.287035902046149
17.91,0.282413255303098
18.84,0.272426019662231
19.76,0.260960965478259
20.68,0.251022133094118
21.6,0.240791437123299
22.52,0.230913924633791
23.44,0.220653774488153
24.35,0.210940948043397
25.27,0.201259477971024
26.19,0.192253356668479
27.11,0.182797643346161
28.03,0.171869458100018
28.94,0.161584887142451
29.86,0.150594544762321
30.78,0.140635376922418
31.69,0.129672106255124
32.61,0.120476008943695
33.53,0.110112008402283
34.44,0.100554182069361
35.35,0.0921518721920651
36.27,0.0822188102898521
37.19,0.0739157563403694
38.1,0.0647290733212245
39.01,0.0565386989160616
39.92,0.0484658735543413
40.83,0.0397205305525581
41.73,0.0336001918185487
42.64,0.0276800763636675
43.54,0.0208409499725513
44.45,0.0139945594453868
45.34,0.00803041240891598
46.22,0.00249698947624221
