Kpx,Kpa,Kda,MaxAngle, Overshoot, J
9.240868,0.104518,0.006866,4.398537,9.998668,73.075556
9.171540,0.105282,0.006903,4.385317,9.998401,73.047107
9.174135,0.105264,0.006917,4.386116,9.999666,73.040423
9.159569,0.105430,0.006977,4.383655,9.998626,73.033719
9.159912,0.105428,0.006996,4.383846,9.998312,73.033369
9.159817,0.105431,0.006977,4.383766,9.999105,73.031476
9.159717,0.105433,0.006999,4.383876,9.998639,73.031383
9.159888,0.105431,0.006977,4.383805,9.999298,73.030556
9.159895,0.105431,0.006977,4.383809,9.999318,73.030464
9.157151,0.105467,0.006996,4.383461,9.999557,73.026282
9.123386,0.105837,0.007017,4.376800,9.998325,73.017728
9.122419,0.105853,0.007016,4.376697,9.999038,73.013931
9.122322,0.105854,0.007016,4.376687,9.999109,73.013552
9.122312,0.105855,0.007016,4.376686,9.999116,73.013514
9.122311,0.105855,0.007016,4.376686,9.999117,73.013510
9.122311,0.105855,0.007016,4.376686,9.999117,73.013509
9.122311,0.105855,0.007016,4.376686,9.999117,73.013509
8.660683,0.111124,0.007735,4.279576,9.960258,72.972788
8.917992,0.108227,0.007504,4.337115,9.991674,72.926917
8.919198,0.108214,0.007349,4.337404,9.996355,72.920296
8.952310,0.107873,0.007565,4.344955,9.996088,72.911018
8.933364,0.108156,0.007823,4.341820,9.997583,72.871606
8.943824,0.108038,0.007790,4.344137,9.999059,72.871230
8.943247,0.108055,0.007812,4.344150,9.999798,72.865267
8.943189,0.108057,0.007814,4.344151,9.999872,72.864671
8.943184,0.108057,0.007814,4.344151,9.999879,72.864611
8.567825,0.112424,0.007731,4.262254,9.980643,72.844447
8.527101,0.112925,0.007757,4.253171,9.978292,72.841189
8.852261,0.109109,0.007813,4.324892,9.998640,72.839319
8.852228,0.109112,0.007813,4.324934,9.999029,72.837387
8.852241,0.109113,0.007813,4.324946,9.999107,72.837008
8.852243,0.109113,0.007813,4.324949,9.999127,72.836909
8.852244,0.109113,0.007813,4.324950,9.999129,72.836899
8.852244,0.109113,0.007813,4.324950,9.999129,72.836898
8.852244,0.109113,0.007813,4.324950,9.999129,72.836898
8.852244,0.109113,0.007813,4.324950,9.999129,72.836898
8.852244,0.109113,0.007813,4.324950,9.999129,72.836898
8.852244,0.109113,0.007813,4.324950,9.999129,72.836898
8.852244,0.109113,0.007813,4.324950,9.999129,72.836898
8.852244,0.109113,0.007813,4.324950,9.999129,72.836898
8.462451,0.113798,0.007325,4.242291,9.996787,72.777073
8.414792,0.114419,0.007301,4.232367,9.998122,72.759826
8.405260,0.114543,0.007296,4.230367,9.998278,72.756964
8.401448,0.114593,0.007294,4.229565,9.998330,72.755874
8.398397,0.114633,0.007292,4.228923,9.998367,72.755025
8.384204,0.114927,0.007831,4.224322,9.997912,72.696077
8.083683,0.118970,0.008508,4.149386,9.974988,72.662753
7.650780,0.125420,0.008663,4.045568,9.975617,72.556931
7.660146,0.125436,0.008663,4.050031,9.995634,72.459777
7.661621,0.125425,0.008663,4.050560,9.997200,72.452314
7.661625,0.125431,0.008663,4.050642,9.997928,72.448725
Kpx,Kpa,Kda,MaxAngle, Overshoot, J
0.000000,0.000000,0.000000,0.175034,0.000000,3231.665579
