Time,Signal,ExpEnvelope,LinEnvelope
15.1,0.293282173269002,0.102307176539432,0.318302538995892
15.11,0.300211501699132,0.102185213861493,0.318193523554311
15.12,0.305577995488511,0.102063396577996,0.31808450811273
15.13,0.309422614532099,0.101941724515612,0.317975492671148
15.14,0.311814588840823,0.101820197501221,0.317866477229567
15.15,0.312790033209304,0.101698815361907,0.317757461787986
15.16,0.312354610061978,0.101577577924961,0.317648446346405
15.17,0.310514162525794,0.101456485017881,0.317539430904823
15.18,0.307292101367043,0.10133553646837,0.317430415463242
15.19,0.302738817871151,0.101214732104335,0.317321400021661
15.2,0.296920711805946,0.101094071753889,0.317212384580079
15.21,0.289883632645801,0.100973555245352,0.317103369138498
15.22,0.281625073536039,0.100853182407245,0.316994353696917
15.23,0.272108484430848,0.100732953068296,0.316885338255335
15.24,0.261315196811757,0.100612867057437,0.316776322813754
15.25,0.249278186426895,0.100492924203802,0.316667307372173
15.26,0.236064312396079,0.100373124336731,0.316558291930592
15.27,0.221749406868335,0.100253467285767,0.31644927648901
15.28,0.206409655489177,0.100133952880654,0.316340261047429
15.29,0.19011385269048,0.100014580951342,0.316231245605848
15.3,0.172926175098265,0.0998953513279828,0.316122230164266
15.31,0.154914614115427,0.0997762638409293,0.316013214722685
15.32,0.13614568268548,0.099657318320738,0.315904199281104
15.33,0.116681800502382,0.0995385145981669,0.315795183839522
15.34,0.0965977715714302,0.099419852504176,0.315686168397941
15.35,0.0760009979464582,0.0993013318699267,0.31557715295636
15.36,0.0550328082034382,0.0991829525267816,0.315468137514779
15.37,0.0338392330808744,0.0990647143063044,0.315359122073197
15.38,0.0125338477121372,0.0989466170402597,0.315250106631616
15.39,-0.00880172984179543,0.0988286605606124,0.315141091190035
15.4,-0.0300833786418642,0.0987108446995281,0.315032075748453
15.41,-0.051208939585312,0.0985931692893721,0.314923060306872
15.42,-0.0720742451391145,0.0984756341627098,0.314814044865291
15.43,-0.0925853753740078,0.098358239152306,0.314705029423709
15.44,-0.112652999633794,0.0982409840911251,0.314596013982128
15.45,-0.132183873545274,0.0981238688123303,0.314486998540547
15.46,-0.151084341812875,0.0980068931492841,0.314377983098966
15.47,-0.169271717070678,0.0978900569355472,0.314268967657384
15.48,-0.186672418175792,0.0977733600048792,0.314159952215803
15.49,-0.203206378685523,0.0976568021912375,0.314050936774222
15.5,-0.218784287959437,0.0975403833287776,0.31394192133264
15.51,-0.233325396575264,0.0974241032518527,0.313832905891059
15.52,-0.246767967665101,0.0973079617950134,0.313723890449478
15.53,-0.259058767480965,0.0971919587930076,0.313614875007896
15.54,-0.270149254509065,0.0970760940807802,0.313505859566315
15.55,-0.280004377495118,0.096960367493473,0.313396844124734
15.56,-0.288595646011261,0.0968447788664239,0.313287828683153
15.57,-0.29588323302907,0.0967293280351676,0.313178813241571
15.58,-0.301812722774036,0.0966140148354346,0.31306979779999
15.59,-0.306327281003318,0.0964988391031513,0.312960782358409
15.6,-0.309375572645756,0.0963838006744396,0.312851766916827
15.61,-0.310906530580518,0.0962688993856168,0.312742751475246
15.62,-0.310877731994601,0.0961541350731955,0.312633736033665
15.63,-0.30928690646085,0.096039507573883,0.312524720592083
15.64,-0.306182379730164,0.0959250167245813,0.312415705150502
15.65,-0.301637599040007,0.0958106623623869,0.312306689708921
15.66,-0.295731225564434,0.0956964443245905,0.31219767426734
15.67,-0.288538862260116,0.0955823624486766,0.312088658825758
15.68,-0.280110329048662,0.0954684165723237,0.311979643384177
15.69,-0.270457337393586,0.0953546065334036,0.311870627942596
15.7,-0.259582027076558,0.0952409321699814,0.311761612501014
15.71,-0.247508988255453,0.0951273933203154,0.311652597059433
15.72,-0.234290212434376,0.0950139898228567,0.311543581617852
15.73,-0.220006212510544,0.0949007215162487,0.31143456617627
15.74,-0.204761766363685,0.0947875882393274,0.311325550734689
15.75,-0.188660392893302,0.094674589831121,0.311216535293108
15.76,-0.171778396717985,0.0945617261308493,0.311107519851527
15.77,-0.154165698356908,0.0944489969779242,0.310998504409945
15.78,-0.135878602437808,0.0943364022119486,0.310889488968364
15.79,-0.116998056644645,0.0942239416727168,0.310780473526783
15.8,-0.097597478570726,0.0941116152002142,0.310671458085201
15.81,-0.0777184449564677,0.0939994226346168,0.31056244264362
15.82,-0.0574023227758651,0.0938873638162912,0.310453427202039
15.83,-0.0367320119244652,0.0937754385857942,0.310344411760457
15.84,-0.0158292624033228,0.0936636467838728,0.310235396318876
15.85,0.00517715228331799,0.0935519882514639,0.310126380877295
15.86,0.0261674121361457,0.0934404628296938,0.310017365435713
15.87,0.0470244906874121,0.0933290703598783,0.309908349994132
15.88,0.0676311096367901,0.0932178106835225,0.309799334552551
15.89,0.0878842942770738,0.0931066836423203,0.30969031911097
15.9,0.107707938650543,0.0929956890781544,0.309581303669388
15.91,0.127038682301152,0.0928848268330959,0.309472288227807
15.92,0.1457971351837,0.0927740967494043,0.309363272786226
15.93,0.163881226109823,0.092663498669527,0.309254257344644
15.94,0.181189494341512,0.0925530324360993,0.309145241903063
15.95,0.197638728139886,0.0924426978919441,0.309036226461482
15.96,0.21315306452492,0.0923324948800716,0.3089272110199
15.97,0.227639060036326,0.0922224232436794,0.308818195578319
15.98,0.240982147510598,0.0921124828261517,0.308709180136738
15.99,0.253075256698574,0.0920026734710595,0.308600164695157
16,0.263840497531534,0.0918929950221606,0.308491149253575
16.01,0.273229639991895,0.0917834473233985,0.308382133811994
16.02,0.281221323662771,0.0916740302189031,0.308273118370413
16.03,0.287814247052583,0.0915647435529902,0.308164102928831
16.04,0.293020144171281,0.0914555871701609,0.30805508748725
16.05,0.29685897443322,0.0913465609151018,0.307946072045669
16.06,0.299349401491665,0.0912376646326848,0.307837056604087
16.07,0.300510251417564,0.0911288981679665,0.307728041162506
16.08,0.300379978925701,0.0910202613661883,0.307619025720925
16.09,0.299016586147586,0.0909117540727762,0.307510010279344
16.1,0.296458591682561,0.0908033761333403,0.307400994837762
16.11,0.292692520574164,0.0906951273936748,0.307291979396181
16.12,0.287667230541995,0.0905870076997578,0.3071829639546
16.13,0.281330397424434,0.090479016897751,0.307073948513018
16.14,0.273651766550118,0.0903711548339994,0.306964933071437
16.15,0.264633894933476,0.0902634213550313,0.306855917629856
16.16,0.254312107092346,0.0901558163075579,0.306746902188274
16.17,0.242745581821199,0.0900483395384731,0.306637886746693
16.18,0.23001208265896,0.0899409908948533,0.306528871305112
16.19,0.216202417264211,0.0898337702239574,0.30641985586353
16.2,0.201407340755986,0.0897266773732261,0.306310840421949
16.21,0.185701533566251,0.0896197121902823,0.306201824980368
16.22,0.169144039116492,0.0895128745229301,0.306092809538787
16.23,0.151802532738465,0.0894061642191556,0.305983794097205
16.24,0.133758822826744,0.0892995811271257,0.305874778655624
16.25,0.115086522659659,0.0891931250951884,0.305765763214043
16.26,0.0958504156315332,0.0890867959718725,0.305656747772461
16.27,0.0761287178148121,0.0889805936058875,0.30554773233088
16.28,0.0560236822377572,0.088874517846123,0.305438716889299
16.29,0.0356484840410775,0.088768568541649,0.305329701447717
16.3,0.0151025966225245,0.0886627455417152,0.305220686006136
16.31,-0.00552946769497154,0.0885570486957513,0.305111670564555
16.32,-0.0261566173409767,0.0884514778533662,0.305002655122974
16.33,-0.0466769237254279,0.0883460328643482,0.304893639681392
16.34,-0.0669866358897174,0.0882407135786647,0.304784624239811
16.35,-0.0869820056012325,0.088135519846462,0.30467560879823
16.36,-0.106561042839995,0.0880304515180649,0.304566593356648
16.37,-0.12561976682794,0.0879255084439768,0.304457577915067
16.38,-0.144039679407811,0.0878206904748791,0.304348562473486
16.39,-0.16169292897635,0.0877159974616315,0.304239547031904
16.4,-0.178479468861553,0.0876114292552712,0.304130531590323
16.41,-0.194355640307411,0.0875069857070132,0.304021516148742
16.42,-0.209311982029855,0.0874026666682497,0.303912500707161
16.43,-0.223329171237634,0.0872984719905502,0.303803485265579
16.44,-0.236360318764291,0.0871944015256611,0.303694469823998
16.45,-0.248341569004678,0.0870904551255054,0.303585454382417
16.46,-0.259206677182775,0.086986632642183,0.303476438940835
16.47,-0.268892737636097,0.0868829339279696,0.303367423499254
16.48,-0.27734145123316,0.0867793588353174,0.303258408057673
16.49,-0.284498150445241,0.0866759072168544,0.303149392616091
16.5,-0.290310559287179,0.0865725789253841,0.30304037717451
16.51,-0.29473530159766,0.0864693738138858,0.302931361732929
16.52,-0.297749273144806,0.0863662917355139,0.302822346291348
16.53,-0.299353837151897,0.0862633325435977,0.302713330849766
16.54,-0.299567019103089,0.0861604960916416,0.302604315408185
16.55,-0.298412247986913,0.0860577822333245,0.302495299966604
16.56,-0.295919528432986,0.0859551908224998,0.302386284525022
16.57,-0.292135288239134,0.0858527217131951,0.302277269083441
16.58,-0.287113369007881,0.0857503747596121,0.30216825364186
16.59,-0.28087170035467,0.085648149816126,0.302059238200278
16.6,-0.273348008035632,0.0855460467372861,0.301950222758697
16.61,-0.264396704637221,0.0854440653778146,0.301841207317116
16.62,-0.253791618086045,0.0853422055926073,0.301732191875535
16.63,-0.241198500770565,0.0852404672367327,0.301623176433953
16.64,-0.226177879367493,0.0851388501654321,0.301514160992372
16.65,-0.208278959184564,0.0850373542341196,0.301405145550791
16.66,-0.187237109102853,0.0849359792983814,0.301296130109209
16.67,-0.163299301217736,0.0848347252139759,0.301187114667628
16.68,-0.13769921079356,0.0847335918368337,0.301078099226047
16.69,-0.112838235011327,0.0846325790230569,0.300969083784465
16.7,-0.0913336088323614,0.0845316866289191,0.300860068342884
16.71,-0.0744407183581089,0.0844309145108655,0.300751052901303
16.72,-0.0615186779548407,0.0843302625255121,0.300642037459722
16.73,-0.0507449171206207,0.0842297305296463,0.30053302201814
16.74,-0.0400729215158387,0.0841293183802256,0.300424006576559
16.75,-0.0279569067898086,0.0840290259343787,0.300314991134978
16.76,-0.0136900521824865,0.083928853049404,0.300205975693396
16.77,0.0027095418601391,0.0838287995827705,0.300096960251815
16.78,0.0208176541741999,0.0837288653921169,0.299987944810234
16.79,0.0400686711243803,0.0836290503352515,0.299878929368652
16.8,0.0599090141828853,0.0835293542701523,0.299769913927071
16.81,0.0798731154942412,0.0834297770549666,0.29966089848549
16.82,0.0996197308421574,0.0833303185480108,0.299551883043909
16.83,0.118919802348789,0.0832309786077701,0.299442867602327
16.84,0.137603174186861,0.0831317570928983,0.299333852160746
16.85,0.155527906929797,0.0830326538622181,0.299224836719165
16.86,0.172585033414108,0.0829336687747202,0.299115821277583
16.87,0.188704468990679,0.0828348016895635,0.299006805836002
16.88,0.203848487470096,0.0827360524660746,0.298897790394421
16.89,0.217989469522343,0.0826374209637481,0.298788774952839
16.9,0.231083677111605,0.0825389070422459,0.298679759511258
16.91,0.243058523882686,0.0824405105613974,0.298570744069677
16.92,0.253816810335155,0.0823422313811988,0.298461728628096
16.93,0.263252338459049,0.0822440693618134,0.298352713186514
16.94,0.271255887962054,0.0821460243635712,0.298243697744933
16.95,0.277712421245437,0.0820480962469687,0.298134682303352
16.96,0.282520196881526,0.0819502848726687,0.29802566686177
16.97,0.28562444463172,0.0818525901015,0.297916651420189
16.98,0.287035902046149,0.0817550117944574,0.297807635978608
16.99,0.286852012797949,0.0816575498127014,0.297698620537026
17,0.285323259089867,0.0815602040175581,0.297589605095445
17.01,0.282888614670485,0.0814629742705188,0.297480589653864
17.02,0.28000667929176,0.0813658604332399,0.297371574212282
17.03,0.276864682874104,0.0812688623675429,0.297262558770701
17.04,0.273274350186432,0.0811719799354138,0.29715354332912
17.05,0.268822703131601,0.0810752129990032,0.297044527887539
17.06,0.26310353860385,0.0809785614206261,0.296935512445957
17.07,0.255874362788075,0.0808820250627617,0.296826497004376
17.08,0.24707357333821,0.080785603788053,0.296717481562795
17.09,0.236753847431474,0.0806892974593066,0.296608466121213
17.1,0.225022020081833,0.0805931059394931,0.296499450679632
17.11,0.212002722417113,0.0804970290917461,0.296390435238051
17.12,0.197813363499409,0.0804010667793625,0.296281419796469
17.13,0.182553157178808,0.080305218865802,0.296172404354888
17.14,0.166317280632772,0.0802094852146874,0.296063388913307
17.15,0.149224619785694,0.0801138656898037,0.295954373471726
17.16,0.131415973390104,0.0800183601550985,0.295845358030144
17.17,0.113025011135884,0.0799229684746816,0.295736342588563
17.18,0.0941697496188666,0.0798276905128247,0.295627327146982
17.19,0.0749576795526949,0.0797325261339614,0.2955183117054
17.2,0.0554752675683171,0.0796374752026869,0.295409296263819
